Player,College,Year,Pick,Rnd,DrAge,AP1,PB,St,wAV,G,GS,Rk,Age,AV,Height,Wt,X40YD,Vertical,BenchReps,Broad.Jump,X3Cone,Shuttle,CareerLength,SEC,BIG10,BIG12,PAC12,ACC,Pos,Position,Team,From,To,AA,QB,Skill,OL,DL,LB,DB,K
Correll Buckhalter,Nebraska,2001,121,4,22,0,0,0,27,103,23,196,22,31,6.1,226,4.53,40,11,123,7.08,4.06,10,0,1,0,0,0,RB,2,PHI,2001,2010,0,0,1,0,0,0,0,0
Curtis Fuller,TCU,2001,127,4,23,0,0,0,3,42,2,160,22,3,5.1,186,4.45,36,18,114,7.2,4.21,4,0,0,1,0,0,DB,12,SEA,2001,2004,0,0,0,0,0,0,1,0
Daleroy Stewart,Southern Miss,2001,171,6,22,0,0,0,3,26,1,37,22,3,6.3,309,4.9,33,NA,110,7.75,4.72,2,0,0,0,0,0,DT,9,DAL,2003,2004,0,0,0,0,1,0,0,0
Damione Lewis,Miami (FL),2001,12,1,23,0,0,3,32,141,65,107,23,38,6.3,293,4.9,NA,22,NA,NA,NA,10,0,0,0,0,1,DT,9,STL,2001,2010,0,0,0,0,1,0,0,0
Dan Morgan,Miami (FL),2001,11,1,22,0,1,5,30,59,59,86,22,33,6.2,240,4.54,NA,NA,NA,NA,NA,7,0,0,0,0,1,LB,11,CAR,2001,2007,0,0,0,0,0,1,0,0
Dan O'Leary,Notre Dame,2001,195,6,24,0,0,0,0,17,1,74,23,0,6.4,252,5.02,32,16,113,7.4,4.31,2,0,0,0,0,0,TE,4,BUF,2001,2002,0,0,1,0,0,0,0,0
David Terrell,Michigan,2001,8,1,22,0,0,1,11,54,29,29,21,12,6.3,213,4.43,NA,NA,NA,NA,NA,5,0,1,0,0,0,WR,3,CHI,2001,2005,0,0,1,0,0,0,0,0
DeLawrence Grant,Oregon St.,2001,89,3,21,0,0,2,12,49,27,153,21,12,6.3,280,4.77,NA,NA,NA,NA,NA,5,0,0,0,1,0,DE,10,OAK,2001,2005,0,0,0,0,1,0,0,0
Dennis Norman,Princeton,2001,222,7,21,0,0,1,17,74,24,78,21,18,6.4,305,5.16,35,25,107,8.08,4.72,7,0,0,0,0,0,C,6,SEA,2003,2009,0,0,0,1,0,0,0,0
Derek Combs,Ohio St.,2001,228,7,22,0,0,0,1,12,0,183,22,1,6.1,193,4.42,35,8,120,6.96,4.07,2,0,1,0,0,0,DB,12,OAK,2002,2003,0,0,0,0,0,0,1,0
Derrick Burgess,Mississippi,2001,63,3,23,0,2,4,40,102,73,195,22,45,6.2,264,4.92,40,24,125,7.85,NA,10,1,0,0,0,0,DE,10,PHI,2001,2010,0,0,0,0,1,0,0,0
Derrick Gibson,Florida St.,2001,28,1,22,0,0,2,13,69,32,155,21,14,6.2,218,4.45,NA,17,NA,NA,NA,6,0,0,0,0,1,DB,12,OAK,2001,2006,0,0,0,0,0,0,1,0
Deuce McAllister,Mississippi,2001,23,1,22,0,2,4,55,97,76,100,22,61,6.1,222,4.41,NA,NA,NA,NA,NA,8,1,0,0,0,0,RB,2,NOR,2001,2008,0,0,1,0,0,0,0,0
Dominic Raiola,Nebraska,2001,50,2,22,0,0,13,64,219,203,64,22,89,6.2,307,5.13,33,29,108,7.55,4.35,14,0,1,0,0,0,C,6,DET,2001,2014,0,0,0,1,0,0,0,0
Drew Brees,Purdue,2001,32,2,22,1,13,19,167,287,286,200,22,277,6.1,213,4.83,32,NA,105,7.09,4.21,20,0,1,0,0,0,QB,1,SDG,2001,2020,0,1,0,0,0,0,0,0
Dwayne Missouri,Northwestern,2001,231,7,22,0,0,0,0,2,0,90,22,0,6.5,258,5.03,38,21,116,7.5,4.4,1,0,1,0,0,0,DE,10,BAL,2001,2001,0,0,0,0,1,0,0,0
Dwight Smith,Akron,2001,84,3,23,0,0,5,34,117,83,46,22,39,5.1,212,4.51,33.5,15,114,NA,NA,8,0,0,0,0,0,DB,12,TAM,2001,2008,0,0,0,0,0,0,1,0
Ellis Wyms,Mississippi St.,2001,183,6,22,0,0,1,13,95,9,2,21,15,6.3,285,4.97,28,NA,103,7.71,4.47,8,1,0,0,0,0,DE,10,TAM,2001,2008,0,0,0,0,1,0,0,0
